mode,layer,batch-size,test-batch-size,epochs,tv-weight,patience,lr,gamma,mse_loss
whitebox,maxpool,8,1000,1,0.05,3,0.0002,0.7,61.7179
whitebox,maxpool,8,1000,2,0.05,3,0.0002,0.7,56.8242
whitebox,maxpool,8,1000,3,0.05,3,0.0002,0.7,54.5333
whitebox,maxpool,64,64,1,0.05,3,0.0002,0.7,118.525
whitebox,maxpool,64,64,15,0.05,3,0.0002,0.7,38.9652
whitebox,conv1,64,64,15,0.025,3,0.0002,0.7,29.7277
whitebox,conv1,64,64,15,0.05,3,0.0002,0.7,29.4528
whitebox,conv1,64,64,15,0.1,3,0.0002,0.7,29.1966
whitebox,conv1,64,64,15,0.025,3,0.0005,0.7,30.1026
whitebox,conv1,64,64,15,0.1,3,0.001,0.7,29.0831
blackbox,conv1,64,64,1,0.1,3,0.001,0.7,117.9077
blackbox,relu1,64,64,1,0.1,3,0.001,0.7,136.7579
blackbox,maxpool,64,64,1,0.1,3,0.001,0.7,166.4136
blackbox,layer1,64,64,1,0.1,3,0.001,0.7,159.2564
blackbox,layer1_0,64,64,1,0.1,3,0.001,0.7,161.363
blackbox,layer1_1,64,64,1,0.1,3,0.001,0.7,159.2695
blackbox,layer1_2,64,64,1,0.1,3,0.001,0.7,159.2351
blackbox,layer2,64,64,1,0.1,3,0.001,0.7,190.6853
blackbox,layer2_0,64,64,1,0.1,3,0.001,0.7,181.819
blackbox,layer2_1,64,64,1,0.1,3,0.001,0.7,188.0967
blackbox,layer2_2,64,64,1,0.1,3,0.001,0.7,190.1157
blackbox,layer2_3,64,64,1,0.1,3,0.001,0.7,190.8473
blackbox,layer3,64,64,1,0.1,3,0.001,0.7,192.9441
blackbox,layer3_0,64,64,1,0.1,3,0.001,0.7,193.5975
blackbox,layer3_1,64,64,1,0.1,3,0.001,0.7,193.1871
blackbox,layer3_2,64,64,1,0.1,3,0.001,0.7,193.1535
blackbox,layer3_3,64,64,1,0.1,3,0.001,0.7,192.6755
blackbox,layer3_4,64,64,1,0.1,3,0.001,0.7,193.3004
blackbox,layer4,64,64,1,0.1,3,0.001,0.7,190.9354
